H-1B Sponsorship Data- Healthcare & Public Health Administration FY'25 (Till 30-Sep-2025)  Prepared by : Srirams_chronicles,,,,,,,,,,,
This data is prepared based on the information in USCIS H1B Data website (Srirams_chronicles is not responsible for any unforeseen isssues with employers sponsoring H-1B),,,,,,,,,,,
Sl No,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
673,2025,CHRISTUS MOTHER FRANCES HOSPITAL REGIONAL HEALTH CARE CENTER,8167,62 - Health Care and Social Assistance,IRVING,TX,75039,2,0,0,0
674,2025,CITRUS CARDIOLOGY CONSULTANTS PLLC,3944,62 - Health Care and Social Assistance,INVERNESS,FL,34452,2,0,0,0
675,2025,CITY OF CHICAGO,5820,92 - Public Administration,CHICAGO,IL,60622,2,0,0,0
676,2025,CITY OF LOVELAND,609,92 - Public Administration,LOVELAND,CO,80537,2,0,0,0
677,2025,CITY OF WOOSTER DBA WOOSTER COMMUNITY HOSPITAL,3129,62 - Health Care and Social Assistance,WOOSTER,OH,44691,2,0,0,0
678,2025,CIVISTA CLINICAL SERVICES LLC D B A UNIVERSITY OF MARYLAND CHARLES RE,9489,62 - Health Care and Social Assistance,LA PLATA,MD,20646,2,0,0,0
679,2025,CLARKSON EYECARE LLC,3749,62 - Health Care and Social Assistance,BALLWIN,MO,63011,2,0,2,0
680,2025,CLINICA CAMPESINA FAMILY HEALTH SERVICES,3432,62 - Health Care and Social Assistance,LAFAYETTE,CO,80026,2,0,0,0
681,2025,CLINICA SIERRA VISTA,7101,62 - Health Care and Social Assistance,BAKERSFIELD,CA,93301,2,0,0,0
682,2025,COGENT HEALTHCARE OF GEORGIA PC DBA SOUND PHYSICIANS OF GEORGIA II,1785,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,2,0,2,0
683,2025,COGENT HEALTHCARE OF NORTH CAROLINA P C D B A SOUND PHYSICIANS OF NOR,3678,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,2,0,1,0
684,2025,COGENT MEDICAL CARE P C D B A SOUN,3048,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,2,0,1,0
685,2025,COLUMBUS AMBULATORY HEALTHCARE SERVICES INC,9867,62 - Health Care and Social Assistance,ATLANTA,GA,30363,2,0,1,0
686,2025,COMMONWEALTH HEALTH CORPORATION,8087,62 - Health Care and Social Assistance,BOWLING GREEN,KY,42101,2,0,1,0
687,2025,COMMONWEALTH UTILITIES CORPORATION,7398,92 - Public Administration,SAIPAN,MP,96950,2,0,1,0
688,2025,COMMUNITY HEALTH CENTER INC,7105,62 - Health Care and Social Assistance,MIDDLETOWN,CT,6457,2,0,0,0
689,2025,COMPASSIONATE CARE SERVICES LLC,1969,62 - Health Care and Social Assistance,FORT WAYNE,IN,46815,2,0,0,0
690,2025,COMPREHENSIVE COMMUNITY ACTION INC D B A COMPREHENSIVE COMMUNITY ACTI,8801,62 - Health Care and Social Assistance,CRANSTON,RI,2910,2,0,3,0
691,2025,CONNECTICUT DEPARTMENT OF TRANSPOR,798,92 - Public Administration,NEWINGTON,CT,6111,2,0,0,0
692,2025,CORNERSTONE CARE INC,6194,62 - Health Care and Social Assistance,MT MORRIS,PA,15349,2,0,0,0
693,2025,CORTWO CORP,8628,92 - Public Administration,DALLAS,TX,75240,2,0,0,0
694,2025,COUNTY OF MEEKER DBA MEEKER MEMORI,4389,62 - Health Care and Social Assistance,LITCHFIELD,MN,55355,2,0,0,0
695,2025,COUNTY OF MONTEREY,524,92 - Public Administration,SALINAS,CA,93906,2,0,0,0
696,2025,CTCA SHARED SERVICES LLC,5283,62 - Health Care and Social Assistance,ZION,IL,60099,2,0,2,0
697,2025,CUERO REGIONAL HOSPITAL,5588,62 - Health Care and Social Assistance,CUERO,TX,77954,2,0,1,0
698,2025,CYTE LLC,5180,62 - Health Care and Social Assistance,KATY,TX,77494,2,0,0,0
699,2025,"DAHL MEMORIAL HEALTHCARE, INC.",4548,62 - Health Care and Social Assistance,EKALAKA,MT,59324,2,0,0,0
700,2025,DALLAS COUNTY MEDICAL CENTER,9542,62 - Health Care and Social Assistance,FORDYCE,AR,71742,2,0,0,0
701,2025,DALLAS RENAL GROUP PA,9650,62 - Health Care and Social Assistance,DALLAS,TX,75237,2,0,0,0
702,2025,DEACONESS ILLINOIS SPECIALTY CLINIC INC,4755,62 - Health Care and Social Assistance,EVANSVILLE,IN,47747,2,0,0,0
703,2025,DEDICATED SENIOR MEDICAL CENTERS OF FLORIDA LLC D B A DEDICATED SENIO,4841,62 - Health Care and Social Assistance,MIAMI GARDENS,FL,33169,2,0,4,1
704,2025,DENTAL DREAMS PLLC,5227,62 - Health Care and Social Assistance,CHICAGO,IL,60654,2,0,1,0
705,2025,DEPARTMENT OF STATE HOSPITALS PATTON,9833,62 - Health Care and Social Assistance,PATTON,CA,92369,2,0,0,0
706,2025,DETROIT EDUCATION AND RESEARCH,4360,62 - Health Care and Social Assistance,DETROIT,MI,48201,2,0,0,0
707,2025,DISTRICT MEDICAL GROUP INC,6540,62 - Health Care and Social Assistance,PHOENIX,AZ,85016,2,0,1,0
708,2025,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1131,62 - Health Care and Social Assistance,WASHINGTON,DC,20032,2,0,0,0
709,2025,DLIFLC,5142,62 - Health Care and Social Assistance,ST LOUIS,MO,63106,2,0,0,0
710,2025,DOMINION FAMILY HEALTHCARE PLLC,5823,62 - Health Care and Social Assistance,SAN ANTONIO,TX,78257,2,0,0,0
711,2025,DONALSONVILLE HOSPITAL INC,3772,62 - Health Care and Social Assistance,DONALSONVILLE,GA,39845,2,0,1,0
712,2025,EASTERN NEPHROLOGY ASSOCIATES PLLC,4662,62 - Health Care and Social Assistance,GREENVILLE,NC,27858,2,0,0,0
713,2025,EATING RECOVERY CENTER LLC DBA PATHLIGHT BEHAVIORAL HEALTH,9769,62 - Health Care and Social Assistance,MILLERSBURG,OH,44654,2,0,0,0
714,2025,ECONOMIC MODELING LLC DBA LIGHTCAS,5272,92 - Public Administration,MOSCOW,ID,83843,2,0,0,0
715,2025,EL CAMPO MEMORIAL HOSPITAL,258,62 - Health Care and Social Assistance,EL CAMPO,TX,77437,2,0,0,0
716,2025,ELLIPSIS HEALTH INC,4003,62 - Health Care and Social Assistance,SAN FRANCISCO,CA,94105,2,0,0,0
717,2025,ELLIS BANDT BIRKIN KOLLINS AND WONG PLLC D B A DESERT RADIOLOGY,8322,62 - Health Care and Social Assistance,LAS VEGAS,NV,89106,2,0,0,0
718,2025,EMERGENCY PHYSICIAN SERVICES OF NY PC,4884,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,2,0,0,0
719,2025,EMERGENT PREPARATORY ACADEMY LLC,3873,62 - Health Care and Social Assistance,WASHINGTON DC,DC,20032,2,0,0,0
720,2025,EMPOWERING MINDS TOGETHER INC,7101,62 - Health Care and Social Assistance,OWINGS MILLS,MD,21117,2,0,0,0
721,2025,ENDEAVOR HEALTH CLINICAL OPERATIONS F K A NORTHSHORE UNIVERSITY HEALT,7060,62 - Health Care and Social Assistance,EVANSTON,IL,60201,2,0,1,0
722,2025,ERLANGER HEALTH,6696,62 - Health Care and Social Assistance,CHATTANOOGA,TN,37403,2,0,1,0
723,2025,ESPERANZA HEALTH CENTERS,5907,62 - Health Care and Social Assistance,CHICAGO,IL,60608,2,0,2,0
724,2025,EVEREST EB5 CAPITAL LLC,3588,62 - Health Care and Social Assistance,UPPER DARBY,PA,19082,2,0,1,0
725,2025,"EVERGREEN MEDICAL CLINIC, PC",3893,62 - Health Care and Social Assistance,NEW YORK,NY,10002,2,0,0,0
726,2025,EVERYMIND INC,1147,62 - Health Care and Social Assistance,ROCKVILLE,MD,20851,2,0,0,0
727,2025,FAITH REGIONAL PHYSICIAN SERVICES LLC,9846,62 - Health Care and Social Assistance,NORFOLK,NE,68701,2,0,1,0
728,2025,FAMILY HEALTH CENTERS OF SAN DIEGO INC,3205,62 - Health Care and Social Assistance,SAN DIEGO,CA,92102,2,0,1,0
729,2025,FAYETTE PHYSICIAN NETWORK INC D B,305,62 - Health Care and Social Assistance,MORGANTOWN,WV,26505,2,0,0,0
730,2025,FAYETTE PHYSICIAN NETWORK INC D B A WVUHS MEDICAL GROUP SMG,305,62 - Health Care and Social Assistance,MORGANTOWN WV,WV,26505,2,0,0,0
731,2025,FOUR COUNTY MENTAL HEALTH CENTER INC,7159,62 - Health Care and Social Assistance,INDEPENDENCE,KS,67301,2,0,0,0
732,2025,FOX REHABILITATION PHYSICAL OCCUPATIONAL AND SPEECH THERAPY SERVICES,5666,62 - Health Care and Social Assistance,CHERRY HILL,NJ,8003,2,0,1,0
733,2025,FRANCISCAN ALLIANCE INC D B A FRANCISCAN PHYSICIAN NETWORK,276,62 - Health Care and Social Assistance,GREENWOOD,IN,46143,2,0,2,1
734,2025,FRANCISCAN MEDICAL GROUP,9739,62 - Health Care and Social Assistance,TACOMA,WA,98405,2,0,3,0
735,2025,FREEMAN HEALTH SYSTEM,4371,62 - Health Care and Social Assistance,JOPLIN,MO,64804,2,0,2,0
736,2025,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER D B A COMMUNITY HEALTH S,4615,62 - Health Care and Social Assistance,FRESNO,CA,93710,2,0,0,0
737,2025,GADSDEN REGIONAL PHYSICIAN GROUP PRACTICE LLC,6828,62 - Health Care and Social Assistance,GADSDEN,AL,35903,2,0,0,0
738,2025,GALILEO MONTESSORI AT CITRUS PARK LLC,5443,62 - Health Care and Social Assistance,WASHINGTON,DC,20036,2,1,0,0
739,2025,GARDNER FAMILY HEALTH NETWORK,3078,62 - Health Care and Social Assistance,SAN JOSE,CA,95112,2,0,0,0
740,2025,GARVEY ELEMENTARY SCHOOL DISTRICT,1427,92 - Public Administration,ROSEMEAD,CA,91770,2,0,3,0
741,2025,GEISINGER COMMUNITY MEDICAL CENTER,2246,62 - Health Care and Social Assistance,DANVILLE,PA,17822,2,0,0,0
742,2025,GENERAL HOSP CORP D B A MASS GENER,7983,62 - Health Care and Social Assistance,BOSTON,MA,2114,2,0,0,0
743,2025,GLACIAL RIDGE HEALTH SYSTEM,6942,62 - Health Care and Social Assistance,GLENWOOD,MN,56334,2,0,0,0
744,2025,GLENCOE REGIONAL HEALTH,9230,62 - Health Care and Social Assistance,GLENCOE,MN,55336,2,0,0,0
745,2025,GOLDEN HARVEST INTL SCHOOL INC,472,62 - Health Care and Social Assistance,SAIPAN,MP,96950,2,1,0,0
746,2025,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,8924,62 - Health Care and Social Assistance,WEST ISLIP,NY,11795,2,0,1,0
747,2025,GRACE HEALTH INC,9075,62 - Health Care and Social Assistance,BATTLE CREEK,MI,49037,2,0,1,0
748,2025,GRANT REGIONAL HEALTH CENTER INC,4962,62 - Health Care and Social Assistance,LANCASTER,WI,53813,2,0,0,0
749,2025,GREATER PHILADELPHIA HEALTH ACTION INC,2074,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19146,2,0,1,0
750,2025,GREEN VILLAGE INITIATIVE INC,9954,62 - Health Care and Social Assistance,BRIDGEPORT,CT,6608,2,0,0,0
751,2025,GREY PINE HOLDINGS LLC,4202,62 - Health Care and Social Assistance,WALNUT CREEK,CA,94598,2,0,0,0
752,2025,GUARDANT HEALTH INC,9254,62 - Health Care and Social Assistance,PALO ALTO,CA,94304,2,0,17,0
753,2025,GULFVIEW VISION ASSOCIATES P A,740,62 - Health Care and Social Assistance,LUTZ,FL,33559,2,0,0,0
754,2025,HANNIBAL REGIONAL HEALTHCARE SYSTEM INC,2495,62 - Health Care and Social Assistance,HANNIBAL,MO,63401,2,0,1,0
755,2025,HARTFORD HOSPITAL,6668,62 - Health Care and Social Assistance,HARTFORD,CT,6106,2,0,1,0
756,2025,HATTIESBURG CLINIC P A,7572,62 - Health Care and Social Assistance,HATTIESBURG,MS,39401,2,0,0,0
757,2025,HAYS MEDICAL CENTER INC,9088,62 - Health Care and Social Assistance,HAYS,KS,67601,2,0,0,0
758,2025,HEALTHCARE CLINICAL EMPLOYEE SERVICES P C,5575,62 - Health Care and Social Assistance,FRISCO,TX,75034,2,0,0,0
759,2025,HEALTHTRACKRX INC,6213,62 - Health Care and Social Assistance,DENTON,TX,76207,2,0,0,0
760,2025,HELEN ROSS MCNABB CENTER INC,8914,62 - Health Care and Social Assistance,KNOXVILLE,TN,37912,2,0,0,0
761,2025,HENRY FORD HEALTH SYSTEM D B A HEN,7020,62 - Health Care and Social Assistance,DETROIT,MI,48202,2,0,10,0
762,2025,HERITAGE PROVIDER NETWORK INC,2920,62 - Health Care and Social Assistance,NORTHRIDGE,CA,91325,2,1,2,0
763,2025,HHA HOSPITAL MEDICINE OF TEXAS PLLC,3770,62 - Health Care and Social Assistance,MIAMI,FL,33155,2,0,0,0
764,2025,HILLCREST EDUCATIONAL CENTERS INC,8510,62 - Health Care and Social Assistance,PITTSFIELD,MA,1201,2,0,2,0
765,2025,HISTOGENETICS LLC,2180,62 - Health Care and Social Assistance,OSSINING,NY,10562,2,0,5,0
766,2025,HNI MEDICAL SERVICES,5733,62 - Health Care and Social Assistance,AUSTIN,TX,78735,2,0,0,0
767,2025,HOLISTIC ACUPUNCTURE LLC,9936,62 - Health Care and Social Assistance,CARY,NC,27511,2,0,0,0
768,2025,HOLOCENE ACQUISITION II LLC DBA AC,4687,62 - Health Care and Social Assistance,AUSTIN,TX,78746,2,0,0,0
769,2025,HOSPITAL MEDICINE SERVICES OF TENN,8016,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,2,0,1,0
770,2025,HOSPITAL MEDICINE SERVICES OF TN L,3137,62 - Health Care and Social Assistance,NASHVILLE,TN,37203,2,0,0,0
771,2025,HOSPITALIST MEDICINE PHYSICIANS OF RICHLAND COUNTY LTD D B A SOUND PH,7666,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,2,0,0,0
772,2025,HOSPITALIST PHYSICIANS OF INDIANA PC,8148,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,2,0,0,0
773,2025,HUBBARD COUNTY HERITAGE LIVING CENTER,2344,62 - Health Care and Social Assistance,PARK RAPIDS,MN,56470,2,0,0,0
774,2025,HUMANTOLD PSYCHOTHERAPY LCSW,688,62 - Health Care and Social Assistance,NEW YORK,NY,10128,2,0,0,0
775,2025,HUNT MEMORIAL HOSPITAL DISTRICT D B A HUNT REGIONAL HEALTHCARE,7293,62 - Health Care and Social Assistance,GREENVILLE,TX,75402,2,0,0,0
776,2025,HUTCHINSON REGIONAL MEDICAL CENTER INC,4005,62 - Health Care and Social Assistance,HUTCHINSON,KS,67502,2,0,0,0
777,2025,IDA COUNTY IOWA COMMUNITY HOSPITAL,3389,62 - Health Care and Social Assistance,IDA GROVE,IA,51445,2,0,1,0
778,2025,IDEAL PEOPLE SERVICES,4875,62 - Health Care and Social Assistance,DALLAS,TX,75251,2,0,1,0
779,2025,IMMACULATE HOME CARE,8328,62 - Health Care and Social Assistance,SAINT PAUL,MN,55119,2,2,0,0
780,2025,INCLUSION SERVICES INC,1183,92 - Public Administration,LAUREL,MD,20707,2,0,0,0
781,2025,"INDIANA UNIVERSITY HEALTH CARE ASSOCIATES, INC.",7218,62 - Health Care and Social Assistance,INDIANAPOLIS,IN,46204,2,0,3,0
782,2025,INFINITE SERVICES INC,5556,62 - Health Care and Social Assistance,BROOKLYN,NY,11207,2,0,2,0
783,2025,INPATIENT CONSULTANTS OF NEVADA INC A MEDICAL CORPORATION,6537,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,2,0,1,0
784,2025,INTEGRATIVE EMERGENCY SERVICES PHYSICIAN GROUP - HOUSTON PLLC,2545,62 - Health Care and Social Assistance,DALLAS,TX,75244,2,0,0,0
785,2025,INTENSIVE CARE CONSORTIUM MIDWEST LLC,5697,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,2,0,0,0
786,2025,INTERNAL MEDICINE OF MORRIS COUNTY,7932,62 - Health Care and Social Assistance,MINEHILL,NJ,7803,2,0,0,0
787,2025,INTERNATIONAL SOS ASSISTANCE INC,1877,62 - Health Care and Social Assistance,TREVOSE,PA,19053,2,0,2,0
788,2025,IYAHO SOCIAL SERVICES INC,6132,62 - Health Care and Social Assistance,HEMPSTEAD,NY,11550,2,0,0,0
789,2025,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,8956,62 - Health Care and Social Assistance,ALTUS,OK,73521,2,0,0,0
790,2025,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL D B A SCHNECK MEDICAL CENTER,3135,62 - Health Care and Social Assistance,SEYMOUR,IN,47274,2,0,0,0
791,2025,JACOBSON MEMORIAL HOSPITAL CARE CENTER,2079,62 - Health Care and Social Assistance,ELGIN,ND,58533,2,0,0,0
792,2025,JEFFERSON RADIOLOGY PC,5886,62 - Health Care and Social Assistance,WETHERSFIELD,CT,6109,2,0,0,0
793,2025,JOHNSON CONTROLS FIRE PROTECTION LP,8861,92 - Public Administration,MILWAUKEE,WI,53209,2,0,1,0
794,2025,JUSTICE ACTION CENTER,1239,92 - Public Administration,LOS ANGELES,CA,90027,2,0,0,0
795,2025,JUSTICE RESOURCE INSTITUTE INC,6357,62 - Health Care and Social Assistance,NEEDHAM,MA,2494,2,0,2,0
796,2025,JWCH INSTITUTE INC DBA WESLEY HEALTH CENTERS,9916,62 - Health Care and Social Assistance,COMMERCE,CA,90040,2,0,0,0
797,2025,KAN-WIN,2338,62 - Health Care and Social Assistance,PARK RIDGE,IL,60068,2,0,0,0
798,2025,KEARNY COUNTY HOSPITAL,8594,62 - Health Care and Social Assistance,LAKIN,KS,67860,2,0,0,0
799,2025,KEEFE MEMORIAL HEALTH SERVICE DISTRICT DBA KEEFE MEMORIAL HOSPITAL,447,62 - Health Care and Social Assistance,CHEYENNE WELLS,CO,80810,2,0,0,0
800,2025,KENT COUNTY MEMORIAL HOSPITAL,8896,62 - Health Care and Social Assistance,WARWICK,RI,2886,2,0,2,0
801,2025,KENTUCKYONE HEALTH MEDICAL GROUP D B A SAINT JOSEPH MEDICAL GROUP,2729,62 - Health Care and Social Assistance,LEXINGTON,KY,40504,2,0,0,0
802,2025,KERN COUNTY SUPERINTENDENT OF SCHOOLS,941,92 - Public Administration,BAKERSFIELD,CA,93301,2,0,2,0
803,2025,KUEI LUCK EARLY CHILDHOOD CENTER LLC,939,62 - Health Care and Social Assistance,LONG ISLAND CITY,NY,11101,2,0,0,0
804,2025,LABORATORY CORPORATION OF AMERICA HOLDINGS,7370,62 - Health Care and Social Assistance,DURHAM,NC,27709,2,0,32,0
805,2025,LAHEY CLINIC HOSPITAL INC D B A LAHEY HOSPITAL AND MEDICAL CENTER,4686,62 - Health Care and Social Assistance,BURLINGTON,MA,1805,2,0,0,0
806,2025,LAKELAND REGIONAL HEALTH DBA LAKELAND REGIONAL HEALTH MEDICAL CENTER,456,62 - Health Care and Social Assistance,LAKELAND,FL,33805,2,1,2,0
807,2025,LANE AND LANE ASSOCIATES OF NC PLLC,635,62 - Health Care and Social Assistance,ANGIER,NC,27501,2,0,0,0
808,2025,LANKENAU INSTITUTE FOR MEDICAL RESEARCH,5659,62 - Health Care and Social Assistance,WYNNEWOOD,PA,19096,2,0,0,0
809,2025,LATINO COMMUNITY DEVELOPMENT AGENC,4239,62 - Health Care and Social Assistance,OKLAHOMA CITY,OK,73109,2,0,0,0
810,2025,LAVACA HOSPITAL DISTRICT DBA LAVACA MEDICAL CENTER,37,62 - Health Care and Social Assistance,HALLETTSVILLE,TX,77964,2,0,1,0
811,2025,LEGACY EMANUEL HOSPITAL AND MEDICAL CENTER,6823,62 - Health Care and Social Assistance,PORTLAND,OR,97227,2,0,0,0
812,2025,LESTER E COX MEDICAL CENTERS D B A COXHEALTH,7118,62 - Health Care and Social Assistance,SPRINGFIELD,MO,65807,2,0,0,0
813,2025,LEXINGTON CHILDREN'S CENTER,2393,62 - Health Care and Social Assistance,NEW YORK,NY,10029,2,0,0,0
814,2025,"LIFETIME DENTAL PROFESSIONALS OF NEW HAMPSHIRE, PC",9954,62 - Health Care and Social Assistance,EFFINGHAM,IL,62401,2,0,0,0
815,2025,LIVING THE LANGUAGE LLC,4633,62 - Health Care and Social Assistance,CHICAGO,IL,60605,2,0,0,0
816,2025,LOCKNEY GENERAL HOSPITAL DISTRICT DBA WJ MANGOLD MEMORIAL HOSPITAL,4965,62 - Health Care and Social Assistance,LOCKNEY,TX,79241,2,0,0,0
817,2025,LYNN URGENT CARE LLC D B A MYTOWNHEALTH URGENT CARE - LYNN,6202,62 - Health Care and Social Assistance,LYNN,MA,1905,2,0,0,0
818,2025,MADISON COUNTY HEALTH CARE SYSTEM,7706,62 - Health Care and Social Assistance,WINTERSET,IA,50273,2,0,0,0
819,2025,MARY WASHINGTON HEALTHCARE PHYSICIANS,6097,62 - Health Care and Social Assistance,FREDERICKSBURG,VA,22554,2,0,1,0
820,2025,MASOUD KHORSAND-SAHBAIE M D P A D B A KYMERA INDEPENDENT PHYSICIANS,3514,62 - Health Care and Social Assistance,ROSWELL,NM,88201,2,0,3,0
821,2025,MASSACHUSETTS EYE AND EAR ASSOCIATES INC,8209,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,2,0,2,0
822,2025,MCH PROFESSIONAL CARE,9946,62 - Health Care and Social Assistance,ODESSA,TX,79765,2,0,1,0
823,2025,MCKENZIE COUNTY HEALTHCARE SYSTEMS INC DBA MCKENZIE HEALTH,7498,62 - Health Care and Social Assistance,WATFORD,ND,58854,2,0,0,0
824,2025,MCLAREN BAY REGION,6271,62 - Health Care and Social Assistance,BAY CITY,MI,48708,2,0,0,0
825,2025,MCLEOD REGIONAL MEDICAL CENTER OF THE PEE DEE INC,242,62 - Health Care and Social Assistance,FLORENCE,SC,29506,2,0,2,0
826,2025,MEDICAL CARE DEVELOPMENT MCD GLOBAL HEALTH,2787,92 - Public Administration,SILVER SPRING,MD,20910,2,0,0,0
827,2025,MEDSTAR-GEORGETOWN MEDICAL CENTER INC D B A MEDSTAR GEORGETOWN UNIVER,8584,62 - Health Care and Social Assistance,WASHINGTON,DC,20007,2,0,3,0
828,2025,MEMORIAL HOSPITAL FLAGLER INC D B A ADVENTHEALTH PALM COAST,1990,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32701,2,0,1,0
829,2025,MEMORIAL HOSPITAL FLAGLER INC D B A ADVENTHEALTH PALM COAST,1990,62 - Health Care and Social Assistance,PALM COAST,FL,32164,2,0,0,0
830,2025,MEMORIAL HOSPITAL OF SWEETWATER COUNTY,295,62 - Health Care and Social Assistance,ROCK SPRINGS,WY,82901,2,0,0,0
831,2025,MEMORIAL SLOAN KETTERING CANCER CE,4236,62 - Health Care and Social Assistance,NEW YORK,NY,10017,2,0,5,0
832,2025,MERCY CLINIC SPRINGFIELD COMMUNITI,263,62 - Health Care and Social Assistance,SPRINGFIELD,MO,65804,2,0,0,0
833,2025,MERCY CLINICS INC D B A MERCYONE MEDICAL GROUP CENTRAL IOWA,3699,62 - Health Care and Social Assistance,DES MOINES,IA,50309,2,0,1,0
834,2025,MID-SOUTH INFECTIOUS DISEASE ASSOCIATES PLLC,3960,62 - Health Care and Social Assistance,MEMPHIS,TN,38120,2,0,2,0
835,2025,MINNEAPOLIS VA HEALTH CARE SYSTEM,6270,62 - Health Care and Social Assistance,MINNEAPOLIS,MN,55417,2,0,3,0
836,2025,MISSISSIPPI DEPARTMENT OF EMPLOYMENT SECURITY,765,92 - Public Administration,JACKSON,MS,39213,2,0,0,0
837,2025,MOHAWK VALLEY NEPHROLOGY ASSOCIATES LLP,8601,62 - Health Care and Social Assistance,UTICA,NY,13502,2,0,0,0
838,2025,MOLINA HEALTHCARE INC,4626,62 - Health Care and Social Assistance,LONG BEACH,CA,90802,2,0,18,0
839,2025,MOONHILL HOME CARE LLC,6425,62 - Health Care and Social Assistance,BEVERLY,MA,1915,2,0,0,0
840,2025,MORI BEAN AND BROOKS INC D B A RAD,6176,62 - Health Care and Social Assistance,MIAMI,FL,33176,2,0,0,0
841,2025,MOUNTAIN STATES HEALTH ALLIANCE,6282,62 - Health Care and Social Assistance,JOHNSON CITY,TN,37604,2,0,0,0
842,2025,MOUNTRAIL BETHEL HOME,796,62 - Health Care and Social Assistance,STANLEY,ND,58784,2,0,0,0
843,2025,NATIONAL IMMIGRATION FORUM INC,6711,92 - Public Administration,WASHINGTON,DC,20002,2,0,0,0
844,2025,"NATIONAL MENTOR, LLC",294,62 - Health Care and Social Assistance,EDINA,MN,55435,2,0,4,0
845,2025,NEPHROLOGY ASSOCIATES P A,3099,62 - Health Care and Social Assistance,NEWARK,DE,19713,2,0,0,0
846,2025,NEW ALTERNATIVES FOR CHILDREN INC,9298,62 - Health Care and Social Assistance,NEW YORK,NY,10019,2,0,0,0
847,2025,NEW YORK CITY HEALTH AND HOSPITALS,5001,62 - Health Care and Social Assistance,NEW YORK,NY,10004,2,0,1,0
848,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,JAMAICA,NY,11432,2,0,0,0
849,2025,NEWYORK-PRESBYTERIAN QUEENS,9362,62 - Health Care and Social Assistance,FLUSHING,NY,11355,2,0,0,0
850,2025,NORTH BROWARD HOSPITAL DISTRICT D B A BROWARD HEALTH,2065,62 - Health Care and Social Assistance,FORT LAUDERDALE,FL,33309,2,0,1,0
851,2025,NORTH CENTRAL HEART INSTITUTE,966,62 - Health Care and Social Assistance,SIOUX FALLS,SD,57108,2,0,0,0
852,2025,NORTH HUDSON COMMUNITY ACTION CORPORATION,8699,62 - Health Care and Social Assistance,UNION CITY,NJ,7087,2,0,0,0
853,2025,NORTH PLATTE NEBRASKA HOSPITAL CORPORATION D B A GREAT PLAINS HEALTH,2290,62 - Health Care and Social Assistance,NORTH PLATTE,NE,69101,2,0,2,0
854,2025,NORTH SHORE HEMATOLOGY ONCOLOGY AS,9534,62 - Health Care and Social Assistance,RIDGE,NY,11961,2,0,0,0
855,2025,NORTHEAST BEHAVIORAL HEALTH CORPORATION D B A BETH ISRAEL LAHEY HEALT,7145,62 - Health Care and Social Assistance,DANVERS,MA,1923,2,0,0,0
856,2025,NORTHEAST INTERNAL MEDICINE ASSOCIATES P C,30,62 - Health Care and Social Assistance,LAGRANGE,IN,46761,2,0,0,0
857,2025,NORTHERN MONTANA HEALTH CARE INC D B A NORTHERN MONTANA HOSPITAL,1787,62 - Health Care and Social Assistance,HAVRE,MT,59501,2,0,2,0
858,2025,NORTHSIDE CENTER FOR RELATIONSHIP COUNSELING P C,9351,62 - Health Care and Social Assistance,CHICAGO,IL,60640,2,0,0,0
859,2025,NORTON SOUND HEALTH CORPORATION,1488,62 - Health Care and Social Assistance,NOME,AK,99762,2,0,0,0
860,2025,NSKHC LLC,9055,62 - Health Care and Social Assistance,ANCHORAGE,AK,99508,2,0,0,0
861,2025,"NUTRITIOUS LIFESTYLES, LLC",5422,62 - Health Care and Social Assistance,ORLANDO,FL,32806,2,0,0,0
862,2025,NUVANCE HEALTH MEDICAL PRACTICE P C,9185,62 - Health Care and Social Assistance,DANBURY,CT,6810,2,0,0,0
863,2025,OAKLAWN PSYCHIATRIC CENTER INC,41,62 - Health Care and Social Assistance,GOSHEN,IN,46528,2,0,0,0
864,2025,OHEL CHILDRENS HOME AND FAMILY SERVICES,8704,62 - Health Care and Social Assistance,BROOKLYN,NY,11230,2,0,0,0
865,2025,OMNI HEALTH SERVICES INC DBA OMNI HEALTH SERVICES INC,2175,62 - Health Care and Social Assistance,COLMAR,PA,18915,2,0,0,0
